,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Hithadhoo,45,MV,1586692800,66,-0.6,73.0833,85.57,9.53
1,Ushuaia,74,AR,1586692800,83,-54.8,-68.3,37.54,3.76
2,Khandyga,100,RU,1586692800,97,62.6667,135.6,29.32,3.29
3,Mataura,94,NZ,1586692800,92,-46.1927,168.8643,51.57,10.29
4,Vaini,88,TO,1586692800,65,-21.2,-175.2,76.78,8.59
5,Tuktoyaktuk,84,CA,1586692800,96,69.4541,-133.0374,14.02,7.92
6,Cabo San Lucas,19,MX,1586692800,67,22.8909,-109.9124,60.35,10.63
7,Dingle,50,PH,1586692800,76,10.9995,122.6711,80.58,5.86
8,San Patricio,83,MX,1586692800,63,19.2167,-104.7,72.48,5.66
9,Chui,3,UY,1586692800,77,-33.6971,-53.4616,63.3,2.1
10,Muroto-misakicho,100,JP,1586692800,88,33.2833,134.15,56.44,14.94
11,Rikitea,18,PF,1586692800,84,-23.1203,-134.9692,78.3,14.92
12,Atuona,13,PF,1586692800,69,-9.8,-139.0333,81.52,3.22
13,Arraial do Cabo,99,BR,1586692800,64,-22.9661,-42.0278,74.71,8.21
14,George Town,53,MY,1586692800,78,5.4112,100.3354,85.75,2.24
15,Guerrero Negro,49,MX,1586692800,75,27.9769,-114.0611,59.99,13.94
16,Bredasdorp,1,ZA,1586692800,47,-34.5322,20.0403,72.16,21.72
17,Bethel,16,US,1586692800,62,41.3712,-73.414,42.13,4.18
18,Bluff,98,NZ,1586692800,90,-46.6,168.3333,50.63,22.62
19,Jamestown,97,US,1586692800,66,42.097,-79.2353,42.6,7.99
20,New Norfolk,96,AU,1586692800,81,-42.7826,147.0587,49.96,4.18
21,Punta Arenas,85,CL,1586692800,84,-53.15,-70.9167,44.58,9.24
22,Lázaro Cárdenas,45,MX,1586692800,85,17.9583,-102.2,71.1,3.96
23,Albany,78,US,1586692800,74,42.6001,-73.9662,35.83,4.43
24,Lagoa,16,PT,1586692800,77,39.05,-27.9833,61.18,7.72
25,Saint Paul Harbor,100,US,1586692800,94,57.79,-152.4072,39.79,15.86
26,Haines Junction,62,CA,1586692800,80,60.7522,-137.5108,21.11,3.78
27,Butaritari,100,KI,1586692800,76,3.0707,172.7902,82.6,11.32
28,Tibiri,91,NE,1586692800,7,13.5627,7.0485,103.95,18.68
29,Portland,35,US,1586692800,68,45.5234,-122.6762,43.0,3.18
30,Torbay,0,CA,1586692800,88,47.6666,-52.7314,33.42,14.29
31,Busselton,60,AU,1586692800,69,-33.65,115.3333,70.59,11.07
32,Dikson,98,RU,1586692800,97,73.5069,80.5464,17.29,14.16
33,Maragogi,69,BR,1586692800,72,-9.0122,-35.2225,83.53,10.85
34,Turukhansk,100,RU,1586692800,97,65.8167,87.9833,36.32,10.16
35,Mahébourg,8,MU,1586692800,73,-20.4081,57.7,82.11,19.6
36,Sabang,89,ID,1586692800,73,5.8933,95.3214,84.7,6.38
37,Hilo,72,US,1586692800,74,19.7297,-155.09,73.22,1.21
38,Tuatapere,99,NZ,1586692800,88,-46.1333,167.6833,49.48,12.3
39,Searcy,100,US,1586692800,93,35.2506,-91.7363,59.74,9.01
40,Juneau,71,US,1586692800,69,58.3019,-134.4197,34.88,2.26
41,Airai,100,TL,1586692800,70,-8.9266,125.4092,62.69,1.88
42,Pitimbu,37,BR,1586692800,70,-7.4706,-34.8086,84.2,10.85
43,Yabēlo,94,ET,1586692800,31,4.8833,38.0833,76.41,9.71
44,Khatanga,98,RU,1586692800,95,71.9667,102.5,18.55,21.68
45,Leh,86,IN,1586692800,11,34.1667,77.5833,46.8,3.67
46,Ust'-Ishim,75,RU,1586692800,63,57.6935,71.1665,52.88,7.85
47,Yellowknife,0,CA,1586692800,87,62.456,-114.3525,-4.16,7.27
48,Hong Kong,2,HK,1586692800,45,22.2855,114.1577,71.13,19.95
49,Touros,48,BR,1586692800,69,-5.1989,-35.4608,85.1,15.82
50,Port Elizabeth,100,ZA,1586692800,57,-33.918,25.5701,72.34,28.36
51,Bambous Virieux,7,MU,1586692800,73,-20.3428,57.7575,82.24,20.38
